Indicator,Xcolumns,FirstColumnHeader,SubHeader,Colors,Year,Values,ChartType,Category,Source,xSecondary,ValueType,YaxisTitle,SortOrder,YOYPercentageChange,ContainMonthlyPercentage,QOM,ISPivot
Growth Rate of real GDP ( in Percent),2016,,,2023,2023,2.399,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,1,0,0,0,0
Growth Rate of real GDP ( in Percent),2017,,,2023,2023,2.6,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,2,13.04,0,0,0
Growth Rate of real GDP ( in Percent),2018,,,2023,2023,1.2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,3,-53.85,0,0,0
Growth Rate of real GDP ( in Percent),2019,,,2023,2023,3.9,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,4,225,0,0,0
Growth Rate of real GDP ( in Percent),2020,,,2023,2023,-2.1,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,5,-153.85,0,0,0
Growth Rate of real GDP ( in Percent),2021,,,2023,2023,-20.7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,6,-885.72,0,0,0
Growth Rate of real GDP ( in Percent),2022,,,2023,2023,-6.2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,7,70.04,0,0,0
Growth Rate of real GDP ( in Percent),2023,,,2023,2023,0,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,8,100,0,0,0
GDP and per capita Income,2004,,,GDP Per Capita (US$),2023,222,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,9,0,0,0,0
GDP and per capita Income,2005,,,GDP Per Capita (US$),2023,255,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,10,14.86,0,0,0
GDP and per capita Income,2006,,,GDP Per Capita (US$),2023,274,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,11,7.45,0,0,0
GDP and per capita Income,2007,,,GDP Per Capita (US$),2023,375,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,12,36.86,0,0,0
GDP and per capita Income,2008,,,GDP Per Capita (US$),2023,388,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,13,3.46,0,0,0
GDP and per capita Income,2009,,,GDP Per Capita (US$),2023,444,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,14,14.43,0,0,0
GDP and per capita Income,2010,,,GDP Per Capita (US$),2023,555,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,15,25,0,0,0
GDP and per capita Income,2011,,,GDP Per Capita (US$),2023,622,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,16,12.07,0,0,0
